IP,Country,City,Organization,ISP,ASN,Ports,Vulnerabilities,OS,Source_Count,Sources
61.74.122.30,"Korea, Republic of",Seoul,Korea Telecom,Korea Telecom,AS4766,"80,25,587,443",,Windows,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
104.197.69.115,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
206.168.34.87,,,,,,,,,1,Malwares and Logs/access.log
123.254.111.116,Hong Kong,Tseung Kwan O,,Cloudie Limited,AS55933,22,"CVE-2023-51385,CVE-2016-20012,CVE-2021-36368,CVE-2025-26465,CVE-2025-32728,CVE-2020-14145,CVE-2023-51767,CVE-2020-15778,CVE-2023-48795,CVE-2023-38408,CVE-2007-2768,CVE-2008-3844,CVE-2019-16905,CVE-2021-41617",,1,Malwares and Logs/access.log
87.236.176.132,United Kingdom,Manchester,Driftnet Ltd,Driftnet Ltd,AS211298,"80,53",,,1,Malwares and Logs/access.log
68.183.204.111,Canada,Toronto,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,"80,443",,,1,Malwares and Logs/access.log
198.235.24.117,Taiwan,Changhua,"Palo Alto Networks, Inc",Google LLC,AS396982,123,,,1,Malwares and Logs/access.log
128.199.252.152,Singapore,Singapore,"DigitalOcean, LLC","DigitalOcean, LLC",AS14061,22,,Linux,1,Malwares and Logs/ameen-alkhalij.com.log
162.158.111.74,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
198.235.24.221,Belgium,Antwerpen,"Palo Alto Networks, Inc",Google LLC,AS396982,123,,,1,Malwares and Logs/access.log
211.248.240.32,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
141.101.104.85,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
154.212.141.219,,,,,,,,,1,Malwares and Logs/access.log
194.177.17.162,,,,,,,,,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0029-0030.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0026-0030.md
162.158.103.14,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
106.227.49.113,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
79.137.7.79,,,,,,,,,1,Malwares and Logs/access.log
45.156.129.57,,,,,,,,,1,Malwares and Logs/access.log
35.178.115.56,,,,,,,,,1,Malwares and Logs/access.log
147.185.132.222,,,,,,,,,1,Malwares and Logs/access.log
106.240.236.68,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
185.241.208.21,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
162.158.170.170,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
94.176.56.246,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
179.60.147.131,,,,,,,,,1,Malwares and Logs/access.log
198.235.24.19,,,,,,,,,1,Malwares and Logs/access.log
165.22.185.57,,,,,,,,,1,Malwares and Logs/access.log
18.199.142.99,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.22,,,,,,,,,1,Malwares and Logs/access.log
62.141.44.236,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
167.248.133.35,,,,,,,,,1,Malwares and Logs/access.log
162.158.86.238,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
89.104.110.210,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
3.35.211.230,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
199.45.154.141,,,,,,,,,1,Malwares and Logs/access.log
162.158.87.159,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
203.2.64.59,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
193.148.16.60,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
141.98.81.168,,,,,,,,,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0039-0040.md
198.235.24.163,,,,,,,,,1,Malwares and Logs/access.log
162.216.150.21,,,,,,,,,1,Malwares and Logs/access.log
167.94.146.58,,,,,,,,,1,Malwares and Logs/access.log
167.94.138.171,,,,,,,,,1,Malwares and Logs/access.log
34.42.243.148,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
101.199.254.242,,,,,,,,,1,Malwares and Logs/access.log
52.90.45.47,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
199.45.155.94,,,,,,,,,1,Malwares and Logs/access.log
88.214.25.61,,,,,,,,,1,Malwares and Logs/access.log
162.158.111.123,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
104.248.40.209,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.118,,,,,,,,,1,Malwares and Logs/access.log
193.227.170.169,,,,,,,,,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
206.168.34.120,,,,,,,,,1,Malwares and Logs/access.log
211.118.15.54,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
89.104.110.217,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
110.166.71.39,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
182.42.111.156,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
162.142.125.215,,,,,,,,,1,Malwares and Logs/access.log
210.216.126.185,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
162.142.125.41,,,,,,,,,1,Malwares and Logs/access.log
124.243.25.133,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
45.90.60.109,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
194.177.17.166,,,,,,,,,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0029-0030.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0026-0030.md
118.193.36.107,,,,,,,,,1,Malwares and Logs/access.log
61.36.230.6,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
43.135.133.241,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
83.69.137.168,,,,,,,,,1,Malwares and Logs/access.log
205.210.31.49,,,,,,,,,1,Malwares and Logs/access.log
167.94.138.59,,,,,,,,,1,Malwares and Logs/access.log
94.232.46.132,,,,,,,,,1,Malwares and Logs/access.log
34.170.209.146,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
157.245.103.161,,,,,,,,,1,Malwares and Logs/access.log
112.170.35.21,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
211.109.249.31,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
112.217.110.155,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
193.47.165.9,,,,,,,,,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0006-0010.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0009-0010.md
45.90.60.247,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
165.154.128.199,,,,,,,,,1,Malwares and Logs/access.log
162.142.125.45,,,,,,,,,1,Malwares and Logs/access.log
205.210.31.214,,,,,,,,,1,Malwares and Logs/access.log
154.212.141.234,,,,,,,,,1,Malwares and Logs/access.log
74.63.247.151,,,,,,,,,1,Malwares and Logs/access.log
218.236.49.29,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
45.90.62.162,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
43.153.48.240,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
35.231.108.187,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
45.90.60.13,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
45.90.62.126,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
139.162.164.132,,,,,,,,,1,Malwares and Logs/access.log
162.158.203.107,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
213.32.32.86,,,,,,,,,1,Malwares and Logs/access.log
176.53.217.110,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.211,,,,,,,,,1,Malwares and Logs/access.log
147.185.132.114,,,,,,,,,1,Malwares and Logs/access.log
167.248.133.188,,,,,,,,,1,Malwares and Logs/access.log
185.247.137.149,,,,,,,,,1,Malwares and Logs/access.log
162.158.171.28,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
141.101.76.104,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
111.7.96.178,,,,,,,,,1,Malwares and Logs/access.log
138.186.142.206,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
205.210.31.108,,,,,,,,,1,Malwares and Logs/access.log
116.127.191.98,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
162.158.203.47,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
103.16.29.184,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
199.45.154.127,,,,,,,,,1,Malwares and Logs/access.log
18.236.186.30,,,,,,,,,1,Malwares and Logs/access.log
89.104.111.212,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
134.122.120.211,,,,,,,,,1,Malwares and Logs/access.log
147.185.132.150,,,,,,,,,1,Malwares and Logs/access.log
49.51.34.159,,,,,,,,,1,Malwares and Logs/access.log
58.230.206.3,,,,,,,,,3,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/KR_Proxyshell_target.txt|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
167.94.145.102,,,,,,,,,1,Malwares and Logs/access.log
162.158.102.234,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
199.45.154.153,,,,,,,,,1,Malwares and Logs/access.log
223.83.130.199,,,,,,,,,1,Malwares and Logs/access.log
112.175.13.19,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
191.102.155.140,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
149.88.106.163,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
162.158.222.147,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
185.247.137.162,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.70,,,,,,,,,1,Malwares and Logs/access.log
198.235.24.29,,,,,,,,,1,Malwares and Logs/access.log
198.235.24.115,,,,,,,,,1,Malwares and Logs/access.log
39.154.15.42,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
198.235.24.168,,,,,,,,,1,Malwares and Logs/access.log
185.247.137.130,,,,,,,,,1,Malwares and Logs/access.log
162.158.203.136,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
89.104.110.212,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
198.235.24.118,,,,,,,,,1,Malwares and Logs/access.log
91.107.236.248,,,,,,,,,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0046-0050.md
89.104.111.168,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
152.32.247.22,,,,,,,,,1,Malwares and Logs/access.log
117.13.171.142,,,,,,,,,1,Malwares and Logs/access.log
220.92.191.232,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
34.46.48.220,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
115.231.78.12,,,,,,,,,1,Malwares and Logs/access.log
182.237.69.14,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
1.1.1.1,,,,,,,,,1,Malwares and Logs/access.log
162.158.222.43,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
44.203.194.48,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
176.53.223.230,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
46.101.127.91,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
147.235.68.55,,,,,,,,,2,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0006-0010.md|Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti سند بررسی و تلاش برای اخذ دسترسی با استفاده از اسیب پذیریpdf/analysis_pages_0009-0010.md
199.45.154.20,,,,,,,,,1,Malwares and Logs/access.log
209.127.106.143,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
152.53.100.33,,,,,,,,,1,Malwares and Logs/access.log
121.0.0.0,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
134.122.32.175,,,,,,,,,1,Malwares and Logs/access.log
147.185.132.87,,,,,,,,,1,Malwares and Logs/access.log
141.101.96.54,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
92.118.189.177,,,,,,,,,1,Intelligence_Analysis_Reports/Analysis_Run_20251001_113824/Ivanti/analysis_pages_0046-0050.md
45.79.168.172,,,,,,,,,1,Malwares and Logs/access.log
179.60.147.47,,,,,,,,,1,Malwares and Logs/access.log
87.236.176.80,,,,,,,,,1,Malwares and Logs/access.log
218.153.138.241,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
167.94.138.113,,,,,,,,,1,Malwares and Logs/access.log
89.104.100.146,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
89.104.101.203,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
198.235.24.58,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
162.158.170.27,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
199.45.154.126,,,,,,,,,1,Malwares and Logs/access.log
124.243.60.45,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
205.210.31.21,,,,,,,,,1,Malwares and Logs/access.log
165.229.11.180,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
47.236.154.147,,,,,,,,,1,Malwares and Logs/access.log
165.154.206.204,,,,,,,,,1,Malwares and Logs/access.log
115.0.0.0,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
101.33.66.34,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.239,,,,,,,,,1,Malwares and Logs/access.log
185.180.143.11,,,,,,,,,1,Malwares and Logs/access.log
121.134.12.29,,,,,,,,,3,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/KR_Proxyshell_target.txt|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
34.58.247.141,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
87.236.176.158,,,,,,,,,1,Malwares and Logs/access.log
121.78.54.214,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
47.254.215.122,,,,,,,,,1,Malwares and Logs/access.log
210.223.115.12,,,,,,,,,2,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
185.242.226.43,,,,,,,,,1,Malwares and Logs/access.log
123.254.109.242,,,,,,,,,1,Malwares and Logs/access.log
222.101.130.97,,,,,,,,,3,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/KR_Proxyshell_target.txt|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
89.108.166.6,,,,,,,,,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
66.249.77.33,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
203.23.179.23,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
45.86.202.56,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
162.158.95.246,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
141.105.86.115,,,,,,,,,1,Malwares and Logs/All_Proxy_Shell_Targets/LB/Result_1.csv
162.216.149.199,,,,,,,,,1,Malwares and Logs/access.log
45.90.60.224,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
94.103.125.138,,,,,,,,,1,Malwares and Logs/access.log
165.22.21.96,,,,,,,,,1,Malwares and Logs/access.log
134.209.26.13,,,,,,,,,1,Malwares and Logs/ameen-alkhalij.com.log
194.59.31.99,,,,,,,,,1,Malwares and Logs/access.log
167.94.138.53,,,,,,,,,1,Malwares and Logs/access.log
45.56.114.70,,,,,,,,,1,Malwares and Logs/access.log
210.91.51.214,,,,,,,,,3,Malwares and Logs/All_Proxy_Shell_Targets/KR/Result_Exchange.csv|Malwares and Logs/All_Proxy_Shell_Targets/KR/KR_Proxyshell_target.txt|Malwares and Logs/All_Proxy_Shell_Targets/KR/p1.csv
80.66.83.114,,,,,,,,,1,Malwares and Logs/access.log
154.212.141.223,,,,,,,,,1,Malwares and Logs/access.log
